filename,kelas,file_size_kb,format,dampak,penanganan,kategori_sampah,risk_level
R_10475.jpg,Plastik,12.07,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10606.jpg,Plastik,12.8,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1351.jpg,Plastik,12.61,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1585.jpg,Plastik,13.57,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1153.jpg,Plastik,5.42,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_119.jpg,Plastik,8.84,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1479.jpg,Plastik,8.78,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_21.jpg,Plastik,8.16,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1353.jpg,Plastik,10.66,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1432.jpg,Plastik,6.9,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1183.jpg,Plastik,3.11,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1263.jpg,Plastik,2.63,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10384.jpg,Plastik,6.23,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1308.jpg,Plastik,14.47,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1112.jpg,Plastik,14.08,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1459.jpg,Plastik,16.09,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1619.jpg,Plastik,10.5,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_203.jpg,Plastik,13.22,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1384.jpg,Plastik,13.32,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1017.jpg,Plastik,17.56,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1509.jpg,Plastik,10.36,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1484.jpg,Plastik,6.44,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1471.jpg,Plastik,8.25,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_209.jpg,Plastik,7.15,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10630.jpg,Plastik,16.32,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1226.jpg,Plastik,17.17,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1160.jpg,Plastik,11.75,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10484.jpg,Plastik,12.64,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1182.jpg,Plastik,9.55,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10403.jpg,Plastik,15.14,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1245.jpg,Plastik,6.62,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1339.jpg,Plastik,7.63,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_92.jpg,Plastik,9.17,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1553.jpg,Plastik,2.93,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10577.jpg,Plastik,14.65,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1568.jpg,Plastik,3.88,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10650.jpg,Plastik,9.31,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1184.jpg,Plastik,6.93,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_967.jpg,Plastik,8.23,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10406.jpg,Plastik,13.07,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_170.jpg,Plastik,7.22,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10619.jpg,Plastik,8.09,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10545.jpg,Plastik,4.78,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1006.jpg,Plastik,15.21,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10556.jpg,Plastik,7.23,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10404.jpg,Plastik,11.56,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_997.jpg,Plastik,7.78,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10592.jpg,Plastik,11.22,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1304.jpg,Plastik,6.72,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1574.jpg,Plastik,4.94,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1525.jpg,Plastik,4.15,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_151.jpg,Plastik,5.57,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_29.jpg,Plastik,4.8,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10389.jpg,Plastik,7.75,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1092.jpg,Plastik,10.36,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10673.jpg,Plastik,5.18,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_227.jpg,Plastik,7.73,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1404.jpg,Plastik,8.11,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10409.jpg,Plastik,8.85,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_65.jpg,Plastik,2.89,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1252.jpg,Plastik,11.08,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10696.jpg,Plastik,8.59,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10677.jpg,Plastik,8.46,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1341.jpg,Plastik,3.47,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1209.jpg,Plastik,5.98,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10682.jpg,Plastik,9.28,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1032.jpg,Plastik,5.4,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10668.jpg,Plastik,10.74,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_48.jpg,Plastik,5.23,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_217.jpg,Plastik,2.64,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_270.jpg,Plastik,8.15,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_20.jpg,Plastik,6.2,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10524.jpg,Plastik,6.69,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_120.jpg,Plastik,5.67,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1103.jpg,Plastik,8.65,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10570.jpg,Plastik,7.04,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1590.jpg,Plastik,6.63,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_154.jpg,Plastik,2.96,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10721.jpg,Plastik,16.59,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1381.jpg,Plastik,2.59,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_141.jpg,Plastik,4.86,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_223.jpg,Plastik,3.12,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1588.jpg,Plastik,5.8,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10536.jpg,Plastik,5.85,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1091.jpg,Plastik,7.15,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10435.jpg,Plastik,11.4,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1130.jpg,Plastik,5.82,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
Image_76.jpg,Plastik,14.56,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10457.jpg,Plastik,11.82,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10453.jpg,Plastik,6.49,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1477.jpg,Plastik,9.03,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10443.jpg,Plastik,6.77,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1146.jpg,Plastik,2.99,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10505.jpg,Plastik,3.93,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_101.jpg,Plastik,4.4,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_41.jpg,Plastik,4.28,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_177.jpg,Plastik,3.82,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_215.jpg,Plastik,4.99,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1592.jpg,Plastik,6.88,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10410.jpg,Plastik,7.32,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1101.jpg,Plastik,7.6,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1439.jpg,Plastik,6.19,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1358.jpg,Plastik,8.66,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_238.jpg,Plastik,18.08,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1083.jpg,Plastik,3.97,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
Image_1.jpg,Plastik,6.96,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10476.jpg,Plastik,9.72,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10530.jpg,Plastik,8.9,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1486.jpg,Plastik,10.85,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10423.jpg,Plastik,2.43,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1273.jpg,Plastik,5.5,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10589.jpg,Plastik,9.95,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10559.jpg,Plastik,6.29,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1394.jpg,Plastik,8.84,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1173.jpg,Plastik,11.06,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1090.jpg,Plastik,8.66,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_60.jpg,Plastik,5.0,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1136.jpg,Plastik,7.04,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_96.jpg,Plastik,8.2,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_15.jpg,Plastik,2.67,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10562.jpg,Plastik,6.1,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1605.jpg,Plastik,8.17,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1305.jpg,Plastik,9.56,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10537.jpg,Plastik,8.21,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_43.jpg,Plastik,16.62,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10622.jpg,Plastik,8.24,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
Image_27.jpg,Plastik,8.84,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1492.jpg,Plastik,16.65,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1138.jpg,Plastik,9.65,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_191.jpg,Plastik,11.81,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_264.jpg,Plastik,3.4,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1047.jpg,Plastik,5.22,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10687.jpg,Plastik,10.1,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1362.jpg,Plastik,5.12,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10413.jpg,Plastik,3.42,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
plastik_5.jpg,Plastik,16.15,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10478.jpg,Plastik,8.17,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1501.jpg,Plastik,4.44,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1498.jpg,Plastik,10.87,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10451.jpg,Plastik,10.42,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10645.jpg,Plastik,4.51,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10511.jpg,Plastik,8.92,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1446.jpg,Plastik,7.17,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10493.jpg,Plastik,9.41,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1496.jpg,Plastik,17.0,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1111.jpg,Plastik,6.19,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10613.jpg,Plastik,10.5,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1203.jpg,Plastik,3.32,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1295.jpg,Plastik,5.4,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_50.jpg,Plastik,4.09,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1120.jpg,Plastik,5.82,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_213.jpg,Plastik,3.85,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1505.jpg,Plastik,8.89,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_57.jpg,Plastik,5.93,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_35.jpg,Plastik,2.69,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1077.jpg,Plastik,5.14,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1319.jpg,Plastik,7.1,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1087.jpg,Plastik,1.87,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10689.jpg,Plastik,11.12,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_975.jpg,Plastik,11.25,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1383.jpg,Plastik,6.87,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1461.jpg,Plastik,6.13,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_117.jpg,Plastik,3.28,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1176.jpg,Plastik,13.91,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1316.jpg,Plastik,7.81,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1213.jpg,Plastik,10.42,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1119.jpg,Plastik,15.33,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10422.jpg,Plastik,16.53,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1608.jpg,Plastik,7.16,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10713.jpg,Plastik,9.94,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1550.jpg,Plastik,2.08,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10594.jpg,Plastik,5.85,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
Image_36.jpg,Plastik,7.35,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
Image_84.jpg,Plastik,6.87,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1366.jpg,Plastik,11.64,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1268.jpg,Plastik,6.34,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_4.jpg,Plastik,5.45,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10571.jpg,Plastik,7.36,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1450.jpg,Plastik,2.22,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10633.jpg,Plastik,14.95,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_183.jpg,Plastik,18.94,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10655.jpg,Plastik,9.86,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1026.jpg,Plastik,8.61,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_180.jpg,Plastik,11.18,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1445.jpg,Plastik,5.78,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1448.jpg,Plastik,6.93,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_204.jpg,Plastik,6.59,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_10617.jpg,Plastik,6.49,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1019.jpg,Plastik,12.53,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1292.jpg,Plastik,8.15,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1499.jpg,Plastik,12.79,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_961.jpg,Plastik,8.69,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1345.jpg,Plastik,8.65,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_139.jpg,Plastik,4.31,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1370.jpg,Plastik,8.24,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1324.jpg,Plastik,8.54,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_52.jpg,Plastik,5.98,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_964.jpg,Plastik,15.59,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1489.jpg,Plastik,13.11,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
R_1013.jpg,Plastik,4.34,JPEG,Sulit terurai dan mencemari lingkungan,Didaur ulang menjadi kerajinan,Anorganik,Sedang
